Reference, Value, Footprint, Datasheet, MANUFACTURER
"U2","TM4C129E_Launchpad","",""
"F1","Fuse","","~"
"U1","LT1910","",""
"R1","10k","","~"
"R4","10k","","~"
"R2","4k","","~"
"C1","10u","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"BZ1","Buzzer","MRDT_Devices:BUZZER_SMI_1324_TW_5V_2_R","~"
"Q1","2N7000","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"R5","10k","","~"
"Q3","2N7000","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"R9","10k","","~"
"U4","OKI","",""
"C5","22uF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"C6","10uF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"C7","1uF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"U3","OKI","",""
"C2","22uF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"C3","10uF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"C4","1uF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"R12","100","","~"
"R13","100","","~"
"R14","100","","~"
"R15","100","","~"
"R8","100","","~"
"Q4","IRFS7530","","~"
"Conn6","Molex_uF_S_09","",""
"Conn7","Molex_uF_S_09","",""
"D7","LED","","~"
"D6","LED","","~"
"D5","LED","","~"
"D4","LED","","~"
"D2","LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
"SW2","SW_SP3T","","~"
"9V1","Battery","","~"
"R16","820","","~"
"R11","10k","","~"
"R10","100k","","~"
"D3","3.3V","Diode_SMD:D_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
"V3","BATT_PWR_VIA","",""
"U9","Opamp_Dual_Generic","",""
"R47","40k","","~"
"R46","40k","","~"
"R45","31.5k","","~"
"D22","4.3V","","~"
"R48","31.5k","","~"
"D23","3.3V","","~"
"D20","4.3V","","~"
"R43","40k","","~"
"R42","40k","","~"
"R44","31.5k","","~"
"D21","3.3V","","~"
"R41","31.5k","","~"
"U8","Opamp_Dual_Generic","",""
"R39","40k","","~"
"R38","40k","","~"
"R37","31.5k","","~"
"D18","4.3V","","~"
"R40","31.5k","","~"
"D19","3.3V","","~"
"D16","4.3V","","~"
"R35","40k","","~"
"R34","40k","","~"
"R36","31.5k","","~"
"D17","3.3V","","~"
"R33","31.5k","","~"
"U7","Opamp_Dual_Generic","",""
"R31","40k","","~"
"R30","40k","","~"
"R29","31.5k","","~"
"D14","4.3V","","~"
"R32","31.5k","","~"
"D15","3.3V","","~"
"D12","4.3V","","~"
"R27","40k","","~"
"R26","40k","","~"
"R28","31.5k","","~"
"D13","3.3V","","~"
"R25","31.5k","","~"
"U6","Opamp_Dual_Generic","",""
"R23","40k","","~"
"R22","40k","","~"
"R21","31.5k","","~"
"D10","4.3V","","~"
"R24","31.5k","","~"
"D11","3.3V","","~"
"D8","4.3V","","~"
"R19","40k","","~"
"R18","40k","","~"
"R20","31.5k","","~"
"D9","3.3V","","~"
"R17","31.5k","","~"
"U5","ACS759ECB-200B-PFF-T","",""
"Conn4","AndersonPP","",""
"V2","BATT_PWR_VIA","",""
"V1","BATT_PWR_VIA","",""
"J1","Molex_uF_SV_03","MRDT_Connectors:MOLEX_uF_S_03_Vertical","","MOLEX"
"J2","Molex_uF_SV_03","MRDT_Connectors:MOLEX_uF_S_03_Vertical","","MOLEX"
"J3","Molex_uF_SV_04","MRDT_Connectors:MOLEX_uF_S_04_Vertical","","MOLEX"
"Conn1","Molex_SL_08","",""
